Informativní seznam;;;;;;;;;;;;;;;;
Název soutěže;Pořadatel;Stručná anotace soutěže;Ročník ;Typ soutěže;Termín konání okresního kola soutěže;Termín konání krajského kola soutěže;Termín konání ústředního kola soutěže;Mezinárodní nadstavba;Byla soutěž podpořena alespoň v jednom roce v období 2021-2025?;Popis jak soutěž zohledňuje probíhající revizi RVP.;Kontaktní osoba (garant soutěže) ;Telefonní číslo;Email;Název pracoviště;Adresa pracoviště;Webové stránky soutěže
Mladý módní tvůrce ČR;Sdružení pro pořádání soutěže Mladý módní tvůrce ČR, z. s.;Mladý módní tvůrce ČR je v tomto rozsahu jedinou soutěží v ČR, kdy v jedné budově současně probíhá soutěž kadeřníků, kosmetiček a oděvních designérů. V roce 2024 udělila soutěži záštitu manželka prezidenta ČR Eva Pavlová. Soutěžní přehlídka MMT ČR vznikla v roce 1988 v Liberci, pak putovala do Prahy a následně do Pardubic. Od roku 1998 se soutěž Mladý módní tvůrce koná v Jihlavě. Tato soutěž byla původně určena pro žáky oděvních a textilních středních škol ČR. V roce 2009 jsme mezi soutěžní obory MMT ČR zařadili také soutěž kadeřnické a kosmetické tvorby. Jako hosté se naší soutěže účastní také žáci ze zahraničí, přivítali jsme soutěžící z Polska, Rakouska, Německa, Slovenska. Soutěž MMT ČR vyhlašuje Sdružení pro pořádání soutěže MMT ČR, organizátor soutěže je OA, VOŠZ a SZŠ, SOŠS Jihlava a SUPŠ Jihlava-Helenín. MMT ČR přináší žákům a studentům zážitek po stránce kreativity, uměleckých nápadů jednotlivých soutěžících, ale přináší také nová přátelství mezi žáky a studenty jednotlivých škol. Soutěž je rozdělena do tří soutěžních sekcí: oděvní, kadeřnická a kosmetická. Každou soutěžní sekci hodnotí profesionální porota, složená z mistrů ČR, mistrů EVROPY, mistrů SVĚTA, což přináší spravedlivé, nekonfliktní hodnocení celé soutěže. Pravidelně se do soutěže hlásí více než 30 škol, vzniká tak prostor pro soutěžící porovnat výsledky své práce v co nejširším kontextu.;35;řemeslná;dle možnosti jednostlivých škol;říjen 2025;27. listopadu 2025;Ne;Ano;Soutěž MMT ČR navazuje na vzdělávací oblasti RVP. Dlouholetá tradice napomáhá velkou měrou ke zkvalitnění vzdělávacího procesu, navazuje na RVP krejčí, švadlena, obuvník, oděvní návrhářství, oděvní design, oděvní a interiérový design, modelářství a návrhářství oděvů, kadeřník, kosmetička, vizážistka. Současně reflektuje probíhající revizi RVP ZV a rozvíjí většinu klíčových kompetencí, např. žáci a studenti využívají svých znalostí ze školy k přípravě na soutěž, plánují, naučené odborné znalosti využívají v odborném výcviku i v osobním životě. Digitální kompetence jsou rozvíjeny potřebou zpracování dokumentace přihlášených soutěžních modelů, které žáci fotí a následně fotografie upravují dle zadaných parametrů, současně jsou tak vedeni k dokumentaci a prezentaci vlastní práce. Udržitelné prostředí je reflektováno zahrnutím témat, která jsou inspirována touto problematikou – podmínkou je zpracování a využití odpadových materiálů, odkaz na tradiční rukodělná řemesla, práce s redesignem, upcyklací, principem zerowaste. Kompetence k řešení problémů: soutěž MMT ČR rozvíjí samostatnost žáků a studentů, řeší problémy při zpracovávání soutěžního úkolu. Kompetence komunikativní: soutěž pomáhá k rozvoji komunikace mezi žáky, učiteli a veřejností. Dochází k výměně názorů ohledně vedení výuky žáků a navazují se nová přátelství na profesní i osobní úrovni. Tomu také napomáhá medializace soutěže v tisku, rádiu, televizi a na sociálních sítích. Kompetence sociální a personální: výměna zkušeností mezi soutěžícími školami, nové výzvy a inspirace pro další žáky. Soutěž napomáhá k lepší orientaci na trhu práce, je velkou motivací pedagogů a žáků při účasti na soutěži. Kompetence občanské: cítění s ostatními soutěžícími, respektování ostatních soutěžících. Zapojení žáků a studentů do kulturního a společenského dění kolem soutěže - porota je velkým vzorem pro soutěžící, jedná se o známé osobnosti z oboru. Kompetence pracovní: zdokonalení rukodělných a řemeslných dovedností, uvědomění si hodnoty vlastní práce zapojených žáků a rozvoj pracovních činností. Žáci a studenti se učí pracovat i ve stresových podmínkách, které vznikají během soutěže. Musí splnit zadané úkoly v určeném čase, Týmové spolupráce završuje všechny kompetence, princip celé soutěže je založen na týmové práci během tvorby jednotlivých zadání, od začátku až po splnění zadaného úkolu.;Miloslava Svobodová, Mgr.A.;725 727 097;svobodova@helenin.cz;SUPŠ Jihlava-Helenín;Hálkova 42, 58603 Jihlava;http://mmtcr.ozs-ji.cz/
České ručičky 2026 - elektro slaboproud;Střední průmyslová škola Brno, Purkyňova, příspěvková organizace;Finálové kolo systému krajských soutěží v oboru elektro slaboproud. Do soutěže postupují vítězové regionálních a oborových soutěží z celé České republiky. Soutěž je určena pro žáky 3. ročníků oborů v oblasti elektro slaboproud. Soutěž je primárně zaměřena na praktickou zručnost a odborné znalosti.;18;řemeslná;x;do 30. dubna 2026;15. dubna 2026;Ano;Ano;Jedná se o odbornou soutěž, zohledňuje pouze RVP souvisejících oborů. Náplň zadání obou částí soutěže - praktické i teoretické - vychází z RVP oborů 26-41-M/01 Elektrotechnika, 26-41-L/01 Mechanik elektrotechnik a 26-52-H/01 Elektromechanik pro stroje a zařízení. Soutěžící plní některé z uvedených úkolů: provádějí výpočty elektrotechnických veličin, realizují vhodná zapojení na předem připravenou desku plošných spojů, zapojují do kontaktního pole, provádí elektrotechnická měření, vyhledávají chyby v předem připravených zapojeních, vrtají do plastu, kompletují zapojení do plastových krabiček.;Petr Veverka, Mgr.;541 649 174;petr.veverka@sspbrno.cz;Střední průmyslová škola Brno, Purkyňova, příspěvková organizace;Purkyňova 97, 612 00 Brno;www.ceskerucicky.eu
Práce s grafickými programy na stavební průmyslovce;Střední průmyslová škola stavební, České Budějovice, Resslova 2;Soutěž v projektování pozemní stavby pomocí grafických programů je určena pro žáky středních škol se vzděláváním v oboru Stavebnictví (36-47-M/01), zaměření Pozemní stavby. Postupové schéma soutěže zahrnuje školní kola, kde garanty jsou ředitelé škol, a ústřední kolo, kde garantem je organizátor soutěže. Pravidla soutěže jsou definována v organizačním řádu, dále jsou pro každý ročník vydány propozice a aktuální informace k soutěži jsou vkládána na web organizátora. Odborná úroveň soutěže je zajištěna vazbou na ČKAIT a CZ BIM  - building SMART CZ. V rámci ústředního kola soutěže probíhá ve spolupráci s firmou CEGRA (Centrum pro počítačovou grafiku) odborný seminář grafického programu ArchiCad, a to pro žáky i pro učitele z účastnících se škol.;22;řemeslná;x;x;18. - 20. březen 2026;Ne;Ano;Téma soutěže bezprostředně souvisí a navazuje na RVP oboru Stavebnictví (36-47-M/01). V oblasti všeobecně vzdělávací jde o klíčové kompetence využívání prostředků ICT. V oblasti odborného Téma soutěže bezprostředně souvisí s RVP oboru Stavebnictví (36-47-M/01). V oblasti všeobecně vzdělávací jde o klíčové kompetence využívání prostředků ICT. V oblasti odborného vzdělávání pro zaměření Pozemní stavby se jedná o návrh objektu s aplikací znalostí typologických zásad navrhování a řešení technických požadavků. Soutěž rozvíjí mezipředmětové vazby. Pokud jde o probíhající revizi RVP ZV, soutěž podporuje využití získaných znalostí k rozvíjení praktických dovedností a motivuje žáky k řešení problémů při vypracování projektové dokumentace.Cíle vzdělávání v informačních a komunikačních technologiích se naplňují prací s počítačem. V oblasti odborného vzdělávání pro zaměření Pozemní stavby se jedná o návrh pozemní stavby s aplikací znalostí typologických zásad navrhování, řešení prostorových i provozních vztahů v budově a řešení technických požadavků. Soutěž rozvíjí mezipředmětové vazby. Výstupem soutěže je projekt, kde žáci středních škol využijí znalosti a dovednosti napříč předměty oboru Stavebnictví. Při vypracování projektové dokumentace dle konkrétního zadání dochází k osvojení práce s programy CAD, tedy se softwarových vybavením používaným pro projektování staveb.;Ing. Hana Konečná;606 877 673;konecna@stavarna.com;Střední průmyslová škola stavební, České Budějovice, Resslova 2;Resslova 1579/2, 37211 České Budějovice 3;www.stavarna.com
Mistrovství České republiky s mezinárodní účastí v soutěži odborných dovedností žáků oboru vzdělání pokrývač 36-69-H/01.;Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Cílem projektu a jeho posláním je rozvíjet u žáků talent, schopnosti a dovednosti při jejich dalším uplatňování na trhu práce s ohledem na společenské potřeby a podporovat aktivity směřující ke zvýšení prestiže učňovského školství v ČR. Tato soutěž odborných dovedností vede žáky k prohlubování znalostí a dovedností v řemeslném oboru. Tím také zajišťuje účinnou propagaci řemesla mezi širokou veřejnost. Projekt slouží k zabezpečení potřebností a významu řemeslných oborů a podpoření jejich dalšího rozvoje.;28;řemeslná;říjen 2025 - únor 2026;říjen 2025 - únor 2026;březen 2026 - květen 2026;Ne;Ano;Soutěže navazují na požadavky vymezené RVP ZV a RVP SOŠ v oblasti informatického vzdělávání a promítají se prostřednictvím ŠVP do všech vzdělávacích oblastí za účelem rozpoznávání informatických a digitálních aspektů světa. Učí žáky využívat moderních technologií a umělé systémy v praxi.;Mgr. Petr Vítek;601 161 350;vitek@soubosonohy.cz;Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Pražská 636/38b;www.soubosonohy.cz
Mistrovství České republiky s mezinárodní účastí v soutěži odborných dovedností žáků oboru vzdělání čalouník 33-59-H/01;Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Cílem projektu a jeho posláním je rozvíjet u žáků talent, schopnosti a dovednosti při jejich dalším uplatňování na trhu práce s ohledem na společenské potřeby a podporovat aktivity směřující ke zvýšení prestiže učňovského školství v ČR. Tato soutěž odborných dovedností vede žáky k prohlubování znalostí a dovedností v řemeslném oboru. Tím také zajišťuje účinnou propagaci řemesla mezi širokou veřejnost. Projekt slouží k zabezpečení potřebností a významu řemeslných oborů a podpoření jejich dalšího rozvoje.;14;řemeslná;říjen 2025 - únor 2026;říjen 2025 - únor 2026;březen 2026 - květen 2026;Ne;Ano;Soutěže navazují na požadavky vymezené RVP ZV a RVP SOŠ v oblasti informatického vzdělávání a promítají se prostřednictvím ŠVP do všech vzdělávacích oblastí za účelem rozpoznávání informatických a digitálních aspektů světa. Učí žáky využívat moderních technologií a umělé systémy v praxi.;Mgr. Petr Vítek;601 161 350;vitek@soubosonohy.cz;Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Pražská 636/38b;www.soubosonohy.cz
Mistrovství České republiky s mezinárodní účastí v soutěži odborných dovedností žáků oboru vzdělání klempíř 23-55-H/01;Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Cílem projektu a jeho posláním je rozvíjet u žáků talent, schopnosti a dovednosti při jejich dalším uplatňování na trhu práce s ohledem na společenské potřeby a podporovat aktivity směřující ke zvýšení prestiže učňovského školství v ČR. Tato soutěž odborných dovedností vede žáky k prohlubování znalostí a dovedností v řemeslném oboru. Tím také zajišťuje účinnou propagaci řemesla mezi širokou veřejnost. Projekt slouží k zabezpečení potřebností a významu řemeslných oborů a podpoření jejich dalšího rozvoje.;14;řemeslná;říjen 2025 - únor 2026;říjen 2025 - únor 2026;březen 2026 - květen 2026;Ne;Ano;Soutěže navazují na požadavky vymezené RVP ZV a RVP SOŠ v oblasti informatického vzdělávání a promítají se prostřednictvím ŠVP do všech vzdělávacích oblastí za účelem rozpoznávání informatických a digitálních aspektů světa. Učí žáky využívat moderních technologií a umělé systémy v praxi.;Mgr. Petr Vítek;601 161 350;vitek@soubosonohy.cz;Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Pražská 636/38b;www.soubosonohy.cz
Mistrovství České republiky s mezinárodní účastí v soutěži odborných dovedností žáků oboru vzdělání kominík 36-56-H/01.;Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Cílem projektu a jeho posláním je rozvíjet u žáků talent, schopnosti a dovednosti při jejich dalším uplatňování na trhu práce s ohledem na společenské potřeby a podporovat aktivity směřující ke zvýšení prestiže učňovského školství v ČR. Tato soutěž odborných dovedností vede žáky k prohlubování znalostí a dovedností v řemeslném oboru. Tím také zajišťuje účinnou propagaci řemesla mezi širokou veřejnost. Projekt slouží k zabezpečení potřebností a významu řemeslných oborů a podpoření jejich dalšího rozvoje.;14;řemeslná;říjen 2025 - únor 2026;říjen 2025 - únor 2026;březen 2026 - květen 2026;Ne;Ano;Zadání úkolů vychází z jednotného zadání závěrečné zkoušky.;Mgr. Petr Vítek;601 161 350;vitek@soubosonohy.cz;Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Pražská 636/38b;www.soubosonohy.cz
Mistrovství České republiky s mezinárodní účastí v soutěži odborných dovedností žáků oboru vzdělání tesař 36-64-H/01;Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Cílem projektu a jeho posláním je rozvíjet u žáků talent, schopnosti a dovednosti při jejich dalším uplatňování na trhu práce s ohledem na společenské potřeby a podporovat aktivity směřující ke zvýšení prestiže učňovského školství v ČR. Tato soutěž odborných dovedností vede žáky k prohlubování znalostí a dovedností v řemeslném oboru. Tím také zajišťuje účinnou propagaci řemesla mezi širokou veřejnost. Projekt slouží k zabezpečení potřebností a významu řemeslných oborů a podpoření jejich dalšího rozvoje.;23;řemeslná;říjen 2025 - únor 2026;říjen 2025 - únor 2026;březen 2026 - květen 2026;Ne;Ano;Soutěže navazují na požadavky vymezené RVP ZV a RVP SOŠ v oblasti informatického vzdělávání a promítají se prostřednictvím ŠVP do všech vzdělávacích oblastí za účelem rozpoznávání informatických a digitálních aspektů světa. Učí žáky využívat moderních technologií a umělé systémy v praxi.;Mgr. Petr Vítek;601 161 350;vitek@soubosonohy.cz;Střední škola stavebních řemesel Brno-Bosonohy, příspěvková organizace;Pražská 636/38b;www.soubosonohy.cz
Celostátní přehlídka odborných dovedností žáků elektrotechnických škol s mezinárodní účastí;Český svaz zaměstnavatelů v energetice;Soutěž je tradiční přehlídkou schopností a dovedností žáků elektrotechnických škol jak v kategorii jednotlivců, tak kategorií dvoučlenných družstev, zaměřená do slaboproudých i silnoproudých zapojení. Jejím vyhlašovatelem je Český svaz zaměstnavatelů v energetice jako největší sociální partner „svazových certifikovaných škol“. Garantem kvality zadání a vyhodnocování výsledků je odborná komise složená se zástupců škol a sociálních partnerů. Pořadatelem je vždy svazová škola, dle harmonogramu. Ve školním roce 2025/2026 to bude Střední průmyslová škola Třebíč. Postupová kola jsou v dikci svazových škol v termínu do 26. 1. 2026.;31;řemeslná;x;do 26. ledna 2026;27. - 28. leden 2026;Ne;Ne;Zadání soutěžních úloh vychází ze společného základu RVP příslušných elektrooborů v kontextu s inovací moderních trendů vývoje elektrotechniky a v souladu s Jednotným zadáním závěrečné zkoušky.;Ing. Petra Hrbáčková;568 832 200;phrbackova@spst.cz;Střední průmyslová škola Třebíč;Manželů Curieových 734, 674 01 Třebíč;x
Florbal;Asociace školních sportovních klubů České republiky, z.s.;Florbal je na školách jedním z nejoblíbenějších sportů. Tento kolektivní sport je prostorově i organizačně nenáročný a hrát florbal mohou i žáci méně pohybově nadaní. Proto florbalové soutěže pokrývají oba stupně ZŠ i všechny ročníky středních škol.;29;sportovní;do 28. listopadu 2025 (III a IV), do 17. dubna 2026 (V);do 12. prosince 2025 (III a IV), do 30. dubna 2026 (V);dvěten - červen 2026 (III a IV) květen 2026 (V);Ne;Ano;Florbal je součástí RVP ve školách v rámci výuky tělesné výchovy.;Mgr. Leoš Bím;732 111 446;leos.bim@jergym.cz;AŠSK ČR, z.s.;Starobylá 999/1a, Praha 4 - Háje, 149 00;www.assk.cz
Fotbal;Asociace školních sportovních klubů České republiky, z.s.;Fotbal patří na školách k nejoblíbenějším sportům. Vzhledem k velké tradici se jedná o nejpopulárnější kolektivní sport. Fotbalové soutěže středních škol se pořádají pro chlapce.;29;sportovní;do 10. října 2025;do 17. října 2025;listopad 2025;Ano;Ano;Fotbal je součástí RVP ve školách v rámci výuky tělesné výchovy.;Mgr. Leoš Bím;732 111 446;leos.bim@jergym.cz;AŠSK ČR, z.s.;Starobylá 999/1a, Praha 4 - Háje, 149 00;www.assk.cz
Volejbal;Asociace školních sportovních klubů České republiky, z.s.;Volejbal patří k nejpopulárnějším míčovým sportům. Velmi oblíbeným je i ve školním prostředí. Do soutěže se zapojují jak chlapci, tak i dívky. Volejbalové soutěže se pořádají pro druhý stupeň základní školy (kat. III. a IV.) a pro střední školy (kat. V.);29;sportovní;do 31. března 2026 (IV), do 21. října 2025 (V);do 24. dubna 2026 (IV), do 5. listopadu 2025 (V);květen 2026 (IV), lisotpad - prosinec 2025 (V);Ano;Ano;Volejbal je součástí RVP ve školách v rámci výuky tělesné výchovy.;Mgr. Leoš Bím;732 111 446;leos.bim@jergym.cz;AŠSK ČR, z.s.;Starobylá 999/1a, Praha 4 - Háje, 149 00;www.assk.cz
Basketbal;Asociace školních sportovních klubů České republiky, z.s.;Basketbal patří mezi nejpopulárnější míčové sporty. Soutěže v basketbalu jsou pořádány pro druhý stupeň základních škol (kat. III. a kat. IV.) a pro střední školy (kat. V.). Hraje se podle pravidel basketbalu ČBF a soutěžního řádu. Chlapci hrají s míči velikosti 7. Dívky hrají s míči velikosti 6. ;29;sportovní;do 31. března 2026 (IV), do 21. října 2025 (V);duben 2026 (IV), do 5. listopadu 2025 (V);květen 2026 (IV), lisotpad - prosinec 2025 (V);Ano;Ano;Basketbal je součástí RVP ve školách v rámci výuky tělesné výchovy.;Mgr. Leoš Bím;732 111 446;leos.bim@jergym.cz;AŠSK ČR, z.s.;Starobylá 999/1a, Praha 4 - Háje, 149 00;www.assk.cz
Minifotbal;Asociace školních sportovních klubů České republiky, z.s.;Minikopaná je soutěží pro první a druhý stupeň základních škol. Hraje se podle pravidel minifotbalu vydaných ČMFS 1.7.2005 , jež jsou upravena vzhledem k věkovým kategoriím a podmínkám soutěže vždy na příslušný rok. Pro druhý stupeň ZŠ jsou pravidla aktualizována na webových stránkách AŠSK ČR.;28;sportovní;do 7. května 2026;do 22. května 2026;červen 2026;Ne;Ano;"Minikopaná je součástí RVP ve školách v rámci výuky tělesné výchovy.
";Mgr. Leoš Bím;732 111 446;leos.bim@jergym.cz;AŠSK ČR, z.s.;Starobylá 999/1a, Praha 4 - Háje, 149 00;www.assk.cz
Přehazovaná;Asociace školních sportovních klubů České republiky, z.s.;Jedná se o soutěž pro smíšená družstva I. stupně základních škol (3.,4.,5. třída). Slouží jako průpravná hra pro basketbal a volejbal. Velmi oblíbená hra u žáků 1.stupně základních škol': hru hrají děvčata i chlaci dohromady. ;9;sportovní;do 3. dubna 2026;do 24. dubna 2026;květen 2026;Ne;Ne;Přehazovaná je součástí RVP ve školách v rámci výuky tělesné výchovy.;Mgr. Leoš Bím;732 111 446;leos.bim@jergym.cz;AŠSK ČR, z.s.;Starobylá 999/1a, Praha 4 - Háje, 149 00;www.assk.cz
Atletické víceboje;Asociace školních sportovních klubů České republiky, z.s.;V rámci atletických vícebojů jsou pořádány dvě soutěže - Atletický trojboj a Atletický čtyřboj. Atletický trojboj je určen pro žáky 1.stupně základních škol (kat. II.) a soutěží v něm smíšená družstva. Atletický čtyřboj je atletická soutěž pro žáky druhého stupně základních škol. (kat. III. a kat. IV.) Soutěží pětičlenná družstva chlapců a dívek.;24;sportovní;do 15. května 2026;do 29. května 2026;červen 2026;Ne;Ano;Atletika je součástí RVP ve školách v rámci výuky tělesné výchovy.;Mgr. Leoš Bím;732 111 446;leos.bim@jergym.cz;AŠSK ČR, z.s.;Starobylá 999/1a, Praha 4 - Háje, 149 00;www.assk.cz
Přespolní běh;Asociace školních sportovních klubů České republiky, z.s.;Přespolní běh je velmi populární školní soutěží základních a středních škol.. Probíhají soutěže družstev i jednotlivců. V závodě startují 6-členná družstva. Do konečného výsledku se započítávají výsledky nejlepších čtyř závodníků v družstvu. Soutěž je určena pro chlapce i dívky v kategriích III,IV a V;24;sportovní;do 30. září 2025;do 10. řijna 2025;říjen 2025;Ano;Ano;Atletika - běh je součástí RVP ve školách v rámci výuky tělesné výchovy;Mgr. Leoš Bím;732 111 446;leos.bim@jergym.cz;AŠSK ČR, z.s.;Starobylá 999/1a, Praha 4 - Háje, 149 00;www.assk.cz
Vybíjená;Asociace školních sportovních klubů České republiky, z.s.;"Soutěž ve vybíjené pro chlapce a dívky se hraje na základních školách v celé České republice a je velmi populární. Pořadatelem je Asociace školních sportovních klubů ČR. Soutěž je určena pro žáky 1.stupně základních škol. Hraje se ve dvou kategoriích - tzv. ""otevřená"", kde startují smíšené týmy a pak v kategorii dívek.";29;sportovní;do 30. dubna 2026;do 15. května 2026;květen - červen 2026;Ne;Ano;Vybíjená je součástí RVP ve školách v rámci výuky tělesné výchovy.;Mgr. Leoš Bím;732 111 446;leos.bim@jergym.cz;AŠSK ČR, z.s.;Starobylá 999/1a, Praha 4 - Háje, 149 00;www.assk.cz
60. ročník Celostátních sportovních her sluchově handicapovaných žáků 2026;Základní škola a Mateřská škola pro sluchově postižené a vady řeši, Ostrava - Poruba, příspěvková organizace;Výroční 60. ročník sportovních her pro žáky základních škol se sluchovým postižením. Tradiční sportovní setkání, při kterém žáci soutěží v atletických disciplínách a v plavání, součástí jsou dále turnaj v malé kopané chlapců a basketbalu dívek. Součástí je kulturní program a důležitý je sociální aspekt her - setkání komunity neslyšících žáků.;60;sportovní;x;x;16. - 18. června 2026;Ne;Ano;Důraz na důležitost tělesné výchovy, v jejíchž hodinách probíhá převážná část přípravy na sportovní hry. Ty jsou pro žáky velkým motivačním prvkem. Soutěž zohledňuje nutnost všeobecné tělesné zdatnosti, není zaměřena jen na jeden pohybový prvek. Soutěží jednotlivci i týmy, soutěž je plně inkludovaná.;Mgr. Bohumil Vaněk;608 263 159;reditel@deaf-ostrava.cz;ZŠ a MŠ pro sluchově postižené a vady řeči, Ostrava - Poruba, příspěvková organizace;Spartakovců 1153/5, 708 00 Ostrava - Poruba;www.deaf-ostrava.cz
Celostátní sportovní hry sluchově postižené mládeže - 42. ročník;Vyšší odborná škola, Střední škola, Základní škola a Mateřská škola, Hradec Králové, Štefánikova 549;Celostátní sportovní hry sluchově postižené mládeže jsou tradiční sportovní akcí zaměřenou na podporu pohybových aktivit, zdravého životního stylu a vzájemného setkávání mládeže se sluchovým postižením z celé České republiky. Účastníci soutěží v různých sportovních disciplínách podle věkových kategorií a úrovně zdatnosti. Cílem her je nejen podpora sportovního ducha, ale také posilování sociálních vazeb, sebevědomí a začlenění mladých lidí s postižením do společnosti.;43;sportovní;x;x;12. - 14. května 2026;Ne;Ano;Soutěž reflektuje aktuální změny v RVP ZV, které kladou důraz na rozvoj klíčových kompetencí, inkluzi, pohyb a zdravý životní styl. Sportovní aktivity jsou prostředkem k rozvíjení nejen fyzických dovedností, ale i spolupráce, fair play, zodpovědnosti a respektu k ostatním. Soutěž zároveň podporuje začleňování žáků se speciálními vzdělávacími potřebami, konkrétně se sluchovým postižením, a tím přispívá k naplňování principů rovného přístupu ke vzdělávání. Jedná se o specifickou akci pro žáky se sluchovým postižením s inkluzivním přesahem. V souladu s revizí RVP ZV soutěž rozvíjí i průřezová témata, jako jsou Osobnostní a sociální výchova, Výchova ke zdraví a Multikulturní výchova. Učitelé mohou výsledky a zkušenosti ze soutěže využít v rámci školních vzdělávacích programů a posílit tak mezioborové vazby i zážitkové učení.;Mgr. Zbyněk Rezek;606 776 411;zbynek.rezek@neslhk.com;VOŠ, SŠ, ZŠ a MŠ Hradec Králové;Štefánikova 549, 500 11 Hradec Králové;www.neslhk.com
